fecha_ing_muestra,id_muestra,carta_camara,fecha_de_certificacion,certificado,fecha_factura,ptovta,letra,numero_factura,id_cliente,razon_social,laboratorios,tipo_analisis,especies,importe_solicitud,anio
2020-06-01,367864,1.0,2020-06-10,1,2020-06-11,4,FA,563,4557,NN,Semillas,Trigo,Trigo,1500.0,2020
2020-06-04,367886,2.0,2020-06-17,15,2020-06-19,4,FA,572,25,NN,Semillas,Maníí,Maníí,1800.0,2020
2020-06-04,367887,2.0,2020-06-17,14,2020-06-19,4,FA,572,25,NN,Semillas,Maníí,Maníí,1800.0,2020
2020-06-04,367888,2.0,2020-06-17,13,2020-06-19,4,FA,572,25,NN,Semillas,Maníí,Maníí,1800.0,2020
2020-06-04,367889,2.0,2020-06-17,12,2020-06-19,4,FA,572,25,NN,Semillas,Maníí,Maníí,1800.0,2020
2020-06-04,367890,2.0,2020-06-17,2,2020-06-19,4,FA,572,25,NN,Semillas,Maníí,Maníí,1800.0,2020
2020-06-04,367891,2.0,2020-06-17,11,2020-06-19,4,FA,572,25,NN,Semillas,Maníí,Maníí,1800.0,2020
2020-06-04,367892,2.0,2020-06-17,10,2020-06-19,4,FA,572,25,NN,Semillas,Maníí,Maníí,1800.0,2020
2020-06-04,367893,2.0,2020-06-17,9,2020-06-19,4,FA,572,25,NN,Semillas,Maníí,Maníí,1800.0,2020
2020-06-04,367894,2.0,2020-06-17,8,2020-06-19,4,FA,572,25,NN,Semillas,Maníí,Maníí,1800.0,2020
2020-06-04,367895,2.0,2020-06-17,7,2020-06-19,4,FA,572,25,NN,Semillas,Maníí,Maníí,1800.0,2020
2020-06-04,367896,2.0,2020-06-17,6,2020-06-19,4,FA,572,25,NN,Semillas,Maníí,Maníí,1800.0,2020
2020-06-04,367897,2.0,2020-06-17,5,2020-06-19,4,FA,572,25,NN,Semillas,Maníí,Maníí,1800.0,2020
2020-06-04,367898,2.0,2020-06-17,4,2020-06-19,4,FA,572,25,NN,Semillas,Maníí,Maníí,1800.0,2020
2020-06-04,367899,2.0,2020-06-17,3,2020-06-19,4,FA,572,25,NN,Semillas,Maníí,Maníí,1800.0,2020
2020-06-22,367932,6.0,2020-06-23,50,2020-06-23,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,2000.0,2020
2020-06-22,367933,6.0,2020-06-23,49,2020-06-23,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,2000.0,2020
2020-06-22,367934,6.0,2020-06-23,48,2020-06-23,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,2000.0,2020
2020-06-22,367935,6.0,2020-06-23,47,2020-06-23,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,2000.0,2020
2020-06-22,367936,6.0,2020-06-23,46,2020-06-23,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,2000.0,2020
2020-06-22,367937,6.0,2020-06-23,45,2020-06-23,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,2000.0,2020
2020-06-22,367938,6.0,2020-06-23,44,2020-06-23,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,2000.0,2020
2020-06-22,367939,6.0,2020-06-23,43,2020-06-23,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,2000.0,2020
2020-06-22,367940,6.0,2020-06-23,42,2020-06-23,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,2000.0,2020
2020-06-22,367941,6.0,2020-06-23,41,2020-06-23,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,2000.0,2020
2020-06-22,367942,6.0,2020-06-23,40,2020-06-23,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,2000.0,2020
2020-06-22,367943,6.0,2020-06-23,39,2020-06-23,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,2000.0,2020
2020-06-22,367944,6.0,2020-06-23,38,2020-06-23,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,2000.0,2020
2020-06-22,367945,6.0,2020-06-23,37,2020-06-23,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,2000.0,2020
2020-06-22,367946,6.0,2020-06-23,36,2020-06-23,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,2000.0,2020
2020-06-22,367947,6.0,2020-06-23,35,2020-06-23,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,2000.0,2020
2020-06-22,367948,6.0,2020-06-23,34,2020-06-23,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,2000.0,2020
2020-06-22,367949,6.0,2020-06-23,33,2020-06-23,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,2000.0,2020
2020-06-22,367950,6.0,2020-06-23,32,2020-06-23,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,2000.0,2020
2020-06-22,367951,6.0,2020-06-23,31,2020-06-23,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,2000.0,2020
2020-06-22,367952,6.0,2020-06-23,30,2020-06-23,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,2000.0,2020
2020-06-22,367953,6.0,2020-06-23,29,2020-06-23,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,2000.0,2020
2020-06-22,367954,6.0,2020-06-23,28,2020-06-23,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,2000.0,2020
2020-06-22,367955,6.0,2020-06-23,27,2020-06-23,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,2000.0,2020
2020-06-22,367956,6.0,2020-06-23,26,2020-06-23,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,2000.0,2020
2020-06-22,367957,6.0,2020-06-23,25,2020-06-23,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,2000.0,2020
2020-06-22,367958,6.0,2020-06-23,24,2020-06-23,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,2000.0,2020
2020-06-10,367959,6.0,2020-06-23,23,2020-06-23,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,2000.0,2020
2020-06-22,367960,6.0,2020-06-23,22,2020-06-23,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,2000.0,2020
2020-06-22,367961,6.0,2020-06-23,21,2020-06-23,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,2000.0,2020
2020-06-22,367962,6.0,2020-06-23,20,2020-06-23,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,2000.0,2020
2020-06-22,367963,6.0,2020-06-23,19,2020-06-23,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,2000.0,2020
2020-06-22,367964,6.0,2020-06-23,18,2020-06-23,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,2000.0,2020
2020-06-22,367965,6.0,2020-06-23,17,2020-06-23,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,2000.0,2020
2020-06-16,367967,5.0,2020-06-26,57,2020-06-26,4,FA,582,4673,NN,Semillas,Fuerza Total,Alfalfa,3250.0,2020
2020-06-12,368030,4.0,2020-06-19,16,2020-06-19,4,FA,573,4396,NN,Semillas,Soja,Soja,1500.0,2020
2020-06-22,368050,7.0,2020-06-24,56,2020-06-25,4,FA,580,392,NN,Semillas,Convenio Syngenta Soja Completo,Soja,2000.0,2020
2020-06-22,368051,7.0,2020-06-24,55,2020-06-25,4,FA,580,392,NN,Semillas,Convenio Syngenta Soja Completo,Soja,2000.0,2020
2020-06-22,368052,7.0,2020-06-24,54,2020-06-25,4,FA,580,392,NN,Semillas,Convenio Syngenta Soja Completo,Soja,2000.0,2020
2020-06-22,368053,7.0,2020-06-24,53,2020-06-25,4,FA,580,392,NN,Semillas,Convenio Syngenta Soja Completo,Soja,2000.0,2020
2020-06-22,368054,7.0,2020-06-24,52,2020-06-25,4,FA,580,392,NN,Semillas,Convenio Syngenta Soja Completo,Soja,2000.0,2020
2020-06-22,368055,7.0,2020-06-24,51,2020-06-25,4,FA,580,392,NN,Semillas,Convenio Syngenta Soja Completo,Soja,2000.0,2020
2020-06-22,368103,3.0,2020-06-30,65,2020-07-01,4,FA,599,2795,NN,Semillas,Convenio Syngenta Soja Completo,Soja,3700.0,2020
2020-06-22,368104,3.0,2020-06-30,64,2020-07-01,4,FA,599,2795,NN,Semillas,Convenio Syngenta Soja Completo,Soja,3700.0,2020
2020-06-22,368105,3.0,2020-06-30,63,2020-07-01,4,FA,599,2795,NN,Semillas,Convenio Syngenta Soja Completo,Soja,3700.0,2020
