Fecha Ing Muestra,Muestra,Carta Camara,Fecha de Certificacion,Certificado,Fecha Factura,PtoVta,Letra,Numero Factura,Id,Razón Social,Laboratorios,Tipo analisis,Especies,Importe Solicitud
06-01-20,367864,1,06-10-20,1,06-11-20,4,FA,563,4557,NN,Semillas,Trigo,Trigo,$ 1500.00
06-04-20,367886,2,06-17-20,15,06-19-20,4,FA,572,25,NN,Semillas,Maní,Maní,$ 1800.00
06-04-20,367887,2,06-17-20,14,06-19-20,4,FA,572,25,NN,Semillas,Maní,Maní,$ 1800.00
06-04-20,367888,2,06-17-20,13,06-19-20,4,FA,572,25,NN,Semillas,Maní,Maní,$ 1800.00
06-04-20,367889,2,06-17-20,12,06-19-20,4,FA,572,25,NN,Semillas,Maní,Maní,$ 1800.00
06-04-20,367890,2,06-17-20,2,06-19-20,4,FA,572,25,NN,Semillas,Maní,Maní,$ 1800.00
06-04-20,367891,2,06-17-20,11,06-19-20,4,FA,572,25,NN,Semillas,Maní,Maní,$ 1800.00
06-04-20,367892,2,06-17-20,10,06-19-20,4,FA,572,25,NN,Semillas,Maní,Maní,$ 1800.00
06-04-20,367893,2,06-17-20,9,06-19-20,4,FA,572,25,NN,Semillas,Maní,Maní,$ 1800.00
06-04-20,367894,2,06-17-20,8,06-19-20,4,FA,572,25,NN,Semillas,Maní,Maní,$ 1800.00
06-04-20,367895,2,06-17-20,7,06-19-20,4,FA,572,25,NN,Semillas,Maní,Maní,$ 1800.00
06-04-20,367896,2,06-17-20,6,06-19-20,4,FA,572,25,NN,Semillas,Maní,Maní,$ 1800.00
06-04-20,367897,2,06-17-20,5,06-19-20,4,FA,572,25,NN,Semillas,Maní,Maní,$ 1800.00
06-04-20,367898,2,06-17-20,4,06-19-20,4,FA,572,25,NN,Semillas,Maní,Maní,$ 1800.00
06-04-20,367899,2,06-17-20,3,06-19-20,4,FA,572,25,NN,Semillas,Maní,Maní,$ 1800.00
06-22-20,367932,6,06-23-20,50,06-23-20,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,$ 2000.00
06-22-20,367933,6,06-23-20,49,06-23-20,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,$ 2000.00
06-22-20,367934,6,06-23-20,48,06-23-20,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,$ 2000.00
06-22-20,367935,6,06-23-20,47,06-23-20,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,$ 2000.00
06-22-20,367936,6,06-23-20,46,06-23-20,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,$ 2000.00
06-22-20,367937,6,06-23-20,45,06-23-20,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,$ 2000.00
06-22-20,367938,6,06-23-20,44,06-23-20,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,$ 2000.00
06-22-20,367939,6,06-23-20,43,06-23-20,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,$ 2000.00
06-22-20,367940,6,06-23-20,42,06-23-20,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,$ 2000.00
06-22-20,367941,6,06-23-20,41,06-23-20,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,$ 2000.00
06-22-20,367942,6,06-23-20,40,06-23-20,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,$ 2000.00
06-22-20,367943,6,06-23-20,39,06-23-20,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,$ 2000.00
06-22-20,367944,6,06-23-20,38,06-23-20,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,$ 2000.00
06-22-20,367945,6,06-23-20,37,06-23-20,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,$ 2000.00
06-22-20,367946,6,06-23-20,36,06-23-20,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,$ 2000.00
06-22-20,367947,6,06-23-20,35,06-23-20,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,$ 2000.00
06-22-20,367948,6,06-23-20,34,06-23-20,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,$ 2000.00
06-22-20,367949,6,06-23-20,33,06-23-20,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,$ 2000.00
06-22-20,367950,6,06-23-20,32,06-23-20,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,$ 2000.00
06-22-20,367951,6,06-23-20,31,06-23-20,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,$ 2000.00
06-22-20,367952,6,06-23-20,30,06-23-20,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,$ 2000.00
06-22-20,367953,6,06-23-20,29,06-23-20,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,$ 2000.00
06-22-20,367954,6,06-23-20,28,06-23-20,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,$ 2000.00
06-22-20,367955,6,06-23-20,27,06-23-20,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,$ 2000.00
06-22-20,367956,6,06-23-20,26,06-23-20,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,$ 2000.00
06-22-20,367957,6,06-23-20,25,06-23-20,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,$ 2000.00
06-22-20,367958,6,06-23-20,24,06-23-20,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,$ 2000.00
06-10-20,367959,6,06-23-20,23,06-23-20,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,$ 2000.00
06-22-20,367960,6,06-23-20,22,06-23-20,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,$ 2000.00
06-22-20,367961,6,06-23-20,21,06-23-20,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,$ 2000.00
06-22-20,367962,6,06-23-20,20,06-23-20,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,$ 2000.00
06-22-20,367963,6,06-23-20,19,06-23-20,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,$ 2000.00
06-22-20,367964,6,06-23-20,18,06-23-20,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,$ 2000.00
06-22-20,367965,6,06-23-20,17,06-23-20,4,FA,576,4237,NN,Semillas,Convenio Syngenta Soja Completo,Soja,$ 2000.00
06-16-20,367967,5,06-26-20,57,06-26-20,4,FA,582,4673,NN,Semillas,Fuerza Total,Alfalfa,$ 3250.00
06-12-20,368030,4,06-19-20,16,06-19-20,4,FA,573,4396,NN,Semillas,Soja,Soja,$ 1500.00
06-22-20,368050,7,06-24-20,56,06-25-20,4,FA,580,392,NN,Semillas,Convenio Syngenta Soja Completo,Soja,$ 2000.00
06-22-20,368051,7,06-24-20,55,06-25-20,4,FA,580,392,NN,Semillas,Convenio Syngenta Soja Completo,Soja,$ 2000.00
